FromCityCode,FromCity,FromCountry,ToCityCode,ToCity,ToCountry,Nr.,AirlineCode,Distance
CCS,Caracas,Venezuela,BRM,Barquisimeto,Venezuela,AsercaAirlines,R7,165
BLA,Barcelona,Venezuela,CCS,Caracas,Venezuela,AsercaAirlines,R7,159
BRM,Barquisimeto,Venezuela,CCS,Caracas,Venezuela,AsercaAirlines,R7,165
LSP,LasPiedras,Venezuela,CCS,Caracas,Venezuela,AsercaAirlines,R7,229
MAR,Maracaibo,Venezuela,CCS,Caracas,Venezuela,AsercaAirlines,R7,321
PMV,Porlamar,Venezuela,CCS,Caracas,Venezuela,AsercaAirlines,R7,206
CCS,Caracas,Venezuela,LSP,LasPiedras,Venezuela,AsercaAirlines,R7,229
CCS,Caracas,Venezuela,MAR,Maracaibo,Venezuela,AsercaAirlines,R7,321
VLN,Valencia,Venezuela,MAR,Maracaibo,Venezuela,AsercaAirlines,R7,259
CCS,Caracas,Venezuela,MUN,Maturin,Venezuela,AsercaAirlines,R7,267
CCS,Caracas,Venezuela,PMV,Porlamar,Venezuela,AsercaAirlines,R7,206
BLA,Barcelona,Venezuela,PZO,GuyanaCity,Venezuela,AsercaAirlines,R7,182
CCS,Caracas,Venezuela,PZO,GuyanaCity,Venezuela,AsercaAirlines,R7,329
PMV,Porlamar,Venezuela,PZO,GuyanaCity,Venezuela,AsercaAirlines,R7,198
CCS,Caracas,Venezuela,STD,SantoDomingo,Venezuela,AsercaAirlines,R7,402
BLA,Barcelona,Venezuela,VLN,Valencia,Venezuela,AsercaAirlines,R7,220
MAR,Maracaibo,Venezuela,VLN,Valencia,Venezuela,AsercaAirlines,R7,259
CCS,Caracas,Venezuela,BOG,Bogota,Colombia,Avianca,AV,636
CCS,Caracas,Venezuela,LIM,Lima,Peru,Avianca,AV,1709
CCS,Caracas,Venezuela,POS,PortofSpain,TrinidadandTobago,CaribbeanAirlines,BW,383
CCS,Caracas,Venezuela,AUA,Aruba,Netherlands,CityConnexionAirlines,G3,243
CCS,Caracas,Venezuela,GRU,SaoPaolo,Brazil,CityConnexionAirlines,G3,2728
CCS,Caracas,Venezuela,PUJ,PuntaCana,DominicanRepublic,CityConnexionAirlines,G3,557
CCS,Caracas,Venezuela,BLA,Barcelona,Venezuela,Conviasa,V0,159
CCS,Caracas,Venezuela,BNS,Barinas,Venezuela,Conviasa,V0,258
CCS,Caracas,Venezuela,BOG,Bogota,Colombia,Conviasa,V0,636
CCS,Caracas,Venezuela,BRM,Barquisimeto,Venezuela,Conviasa,V0,165
PMV,Porlamar,Venezuela,BRM,Barquisimeto,Venezuela,Conviasa,V0,371
BLA,Barcelona,Venezuela,CCS,Caracas,Venezuela,Conviasa,V0,159
BRM,Barquisimeto,Venezuela,CCS,Caracas,Venezuela,Conviasa,V0,165
LSP,LasPiedras,Venezuela,CCS,Caracas,Venezuela,Conviasa,V0,229
MAR,Maracaibo,Venezuela,CCS,Caracas,Venezuela,Conviasa,V0,321
PMV,Porlamar,Venezuela,CCS,Caracas,Venezuela,Conviasa,V0,206
CCS,Caracas,Venezuela,CUM,Cumana,Venezuela,Conviasa,V0,194
CCS,Caracas,Venezuela,CZE,Coro,Venezuela,Conviasa,V0,190
CCS,Caracas,Venezuela,EZE,BuenosAires,Argentina,Conviasa,V0,3185
PMV,Porlamar,Venezuela,GND,StGeorge,Grenada,Conviasa,V0,165
CCS,Caracas,Venezuela,HAV,Habana,Cuba,Conviasa,V0,1328
CCS,Caracas,Venezuela,LFR,LaFria,Venezuela,Conviasa,V0,394
CCS,Caracas,Venezuela,LSP,LasPiedras,Venezuela,Conviasa,V0,229
CCS,Caracas,Venezuela,MAD,Madrid,Spain,Conviasa,V0,4350
PMV,Porlamar,Venezuela,MAO,Manaus,Brazil,Conviasa,V0,1000
CCS,Caracas,Venezuela,MAR,Maracaibo,Venezuela,Conviasa,V0,321
PMV,Porlamar,Venezuela,MAR,Maracaibo,Venezuela,Conviasa,V0,527
CCS,Caracas,Venezuela,MRD,Merida,Venezuela,Conviasa,V0,316
CCS,Caracas,Venezuela,MUN,Maturin,Venezuela,Conviasa,V0,267
PMV,Porlamar,Venezuela,MUN,Maturin,Venezuela,Conviasa,V0,97
MAR,Maracaibo,Venezuela,PBL,PuertoCabello,Venezuela,Conviasa,V0,248
PMV,Porlamar,Venezuela,PBL,PuertoCabello,Venezuela,Conviasa,V0,280
BRM,Barquisimeto,Venezuela,PMV,Porlamar,Venezuela,Conviasa,V0,371
CCS,Caracas,Venezuela,PMV,Porlamar,Venezuela,Conviasa,V0,206
MAR,Maracaibo,Venezuela,PMV,Porlamar,Venezuela,Conviasa,V0,527
PMV,Porlamar,Venezuela,POS,PortofSpain,TrinidadandTobago,Conviasa,V0,179
CCS,Caracas,Venezuela,PTY,PanamaCity,Panama,Conviasa,V0,849
CCS,Caracas,Venezuela,PYH,PuertoAyacucho,Venezuela,Conviasa,V0,346
CCS,Caracas,Venezuela,PZO,GuyanaCity,Venezuela,Conviasa,V0,329
PMV,Porlamar,Venezuela,PZO,GuyanaCity,Venezuela,Conviasa,V0,198
CCS,Caracas,Venezuela,SOM,SanFrancisco,USA,Conviasa,V0,224
CCS,Caracas,Venezuela,STD,SantoDomingo,Venezuela,Conviasa,V0,402
PMV,Porlamar,Venezuela,STD,SantoDomingo,Venezuela,Conviasa,V0,596
CCS,Caracas,Venezuela,SVZ,SanAntoniodelTáchira,Venezuela,Conviasa,V0,417
CCS,Caracas,Venezuela,VIG,ElVigia,Venezuela,Conviasa,V0,346
PMV,Porlamar,Venezuela,VIG,ElVigia,Venezuela,Conviasa,V0,547
CCS,Caracas,Venezuela,BOG,Bogota,Colombia,CopaAirlines,CM,636
CCS,Caracas,Venezuela,MDE,Medellin,Colombia,CopaAirlines,CM,652
CCS,Caracas,Venezuela,PTY,PanamaCity,Panama,CopaAirlines,CM,849
VLN,Valencia,Venezuela,PTY,PanamaCity,Panama,CopaAirlines,CM,783
MAR,Maracaibo,Venezuela,PTY,PanamaCity,Panama,CopaAirlines,CM,530
CCS,Caracas,Venezuela,HAV,Habana,Cuba,CubanadeAviación,CU,1328
PMV,Porlamar,Venezuela,HAV,Habana,Cuba,CubanadeAviación,CU,1473
CCS,Caracas,Venezuela,ATL,Atlanta,USA,DeltaAirLines,DL,1935
CCS,Caracas,Venezuela,MAD,Madrid,Spain,IberiaAirlines,IB,4350
CCS,Caracas,Venezuela,AUA,Aruba,Netherlands,InselAirPriv,7I,243
VLN,Valencia,Venezuela,AUA,Aruba,Netherlands,InselAirPriv,7I,215
BRM,Barquisimeto,Venezuela,CUR,Curacao,Netherlands,InselAirPriv,7I,150
CCS,Caracas,Venezuela,CUR,Curacao,Netherlands,InselAirPriv,7I,172
LSP,LasPiedras,,CUR,Curacao,Netherlands,InselAirPriv,7I,85
MAR,Maracaibo,Venezuela,CUR,Curacao,Netherlands,InselAirPriv,7I,218
VLN,Valencia,Venezuela,CUR,Curacao,Netherlands,InselAirPriv,7I,157
CCS,Caracas,Venezuela,GYE,Guayaquil,Ecuador,LANAirlines,LA,1249
CCS,Caracas,Venezuela,LIM,Lima,Peru,LANAirlines,LA,1709
CCS,Caracas,Venezuela,MIA,Miami,USA,LANAirlines,LA,1362
CCS,Caracas,Venezuela,SCL,SantiagodeChile,Chile,LANAirlines,LA,3048
CCS,Caracas,Venezuela,FRA,Frankfurt,Germany,Lufthansa,LH,5015
CCS,Caracas,Venezuela,AUA,Aruba,Netherlands,MywayAirlines,8I,243
VLN,Valencia,Venezuela,AUA,Aruba,Netherlands,MywayAirlines,8I,215
CCS,Caracas,Venezuela,MIA,Miami,USA,SantaBarbara,S3,1362
CCS,Caracas,Venezuela,PTY,PanamaCity,Panama,SantaBarbara,S4,849
CCS,Caracas,Venezuela,TFN,Tenerife,Venezuela,SantaBarbara,S5,3490
CCS,Caracas,Venezuela,GRU,SaoPaolo,Brazil,TAMBrazilianAirlines,JJ,2728
CCS,Caracas,Venezuela,BOG,Bogota,Colombia,TAMBrazilianAirlines,EQ,636
CCS,Caracas,Venezuela,FNC,Madeira,Portugal,TAPPortugal,TP,3525
CCS,Caracas,Venezuela,LIS,Lisbon,Portugal,TAPPortugal,TP,4037
CCS,Caracas,Venezuela,OPO,Porto,Portugal,TAPPortugal,TP,4099
LSP,LasPiedras,Venezuela,AUA,Aruba,Netherlands,TiaraAir,3P,50
MAR,Maracaibo,Venezuela,AUA,Aruba,Netherlands,TiaraAir,3P,177
CCS,Caracas,Venezuela,IAH,Houston,USA,UnitedAirlines,UA,2260
CCS,Caracas,Venezuela,BRM,Barquisimeto,Venezuela,VirginPacific,VH,165
BRM,Barquisimeto,Venezuela,CCS,Caracas,Venezuela,VirginPacific,VH,165
MAR,Maracaibo,Venezuela,CCS,Caracas,Venezuela,VirginPacific,VH,321
PMV,Porlamar,Venezuela,CCS,Caracas,Venezuela,VirginPacific,VH,206
CCS,Caracas,Venezuela,MAR,Maracaibo,Venezuela,VirginPacific,VH,321
CCS,Caracas,Venezuela,MUN,Maturin,Venezuela,VirginPacific,VH,267
CCS,Caracas,Venezuela,PMV,Porlamar,Venezuela,VirginPacific,VH,206
VLN,Valencia,Venezuela,PMV,Porlamar,Venezuela,VirginPacific,VH,274
CCS,Caracas,Venezuela,PZO,GuyanaCity,Venezuela,VirginPacific,VH,329
PMV,Porlamar,Venezuela,VLN,Valencia,Venezuela,VirginPacific,VH,274
CCS,Caracas,Venezuela,AUA,Aruba,Netherlands,VoloteaCostaRica,9V,243
MAR,Maracaibo,Venezuela,AUA,Aruba,Netherlands,VoloteaCostaRica,9V,177
CCS,Caracas,Venezuela,BLA,Barcelona,Venezuela,VoloteaCostaRica,9V,159
PMV,Porlamar,Venezuela,BLA,Barcelona,Venezuela,VoloteaCostaRica,9V,74
VLN,Valencia,Venezuela,BLA,Barcelona,Venezuela,VoloteaCostaRica,9V,220
CCS,Caracas,Venezuela,BNS,Barinas,Venezuela,VoloteaCostaRica,9V,258
BLA,Barcelona,Venezuela,CCS,Caracas,Venezuela,VoloteaCostaRica,9V,159
MAR,Maracaibo,Venezuela,CCS,Caracas,Venezuela,VoloteaCostaRica,9V,321
PMV,Porlamar,Venezuela,CCS,Caracas,Venezuela,VoloteaCostaRica,9V,206
CCS,Caracas,Venezuela,CUR,Curacao,Netherlands,VoloteaCostaRica,9V,172
CCS,Caracas,Venezuela,MAR,Maracaibo,Venezuela,VoloteaCostaRica,9V,321
VLN,Valencia,Venezuela,MAR,Maracaibo,Venezuela,VoloteaCostaRica,9V,259
BLA,Barcelona,Venezuela,MIA,Miami,USA,VoloteaCostaRica,9V,1487
CCS,Caracas,Venezuela,MRD,Merida,Venezuela,VoloteaCostaRica,9V,316
BLA,Barcelona,Venezuela,PMV,Porlamar,Venezuela,VoloteaCostaRica,9V,74
BLA,Barcelona,Venezuela,PTY,PanamaCity,Panama,VoloteaCostaRica,9V,1002
BLA,Barcelona,Venezuela,PZO,GuyanaCity,Venezuela,VoloteaCostaRica,9V,182
CCS,Caracas,Venezuela,PZO,GuyanaCity,Venezuela,VoloteaCostaRica,9V,329
BLA,Barcelona,Venezuela,VLN,Valencia,Venezuela,VoloteaCostaRica,9V,220
MAR,Maracaibo,Venezuela,VLN,Valencia,Venezuela,VoloteaCostaRica,9V,259
CCS,Caracas,Venezuela,VLV,Valera,Venezuela,VoloteaCostaRica,9V,259
